Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Axis Nifty Smallcap 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,3%,7%,20%,42%,47%,47%,,,,
Axis Nifty Smallcap 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,3%,7%,19%,41%,46%,46%,,,,
Navi NASDAQ 100 Fund of Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,3%,5%,4%,19%,46%,37%,,,,
Navi NASDAQ 100 Fund of Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,3%,5%,4%,19%,46%,37%,,,,
ICICI Prudential NASDAQ 100 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,3%,5%,4%,19%,45%,36%,5%,,,
ICICI Prudential NASDAQ 100 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,3%,5%,4%,19%,45%,35%,4%,,,
HDFC NIFTY 200 MOMENTUM 30 ETF,Regular,Index Funds/ETFs,-,0.00,3%,4%,11%,21%,24%,20%,,,,
UTI Nifty200 Momentum 30 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,3%,4%,11%,22%,24%,20%,7%,,,
UTI Nifty200 Momentum 30 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,3%,4%,11%,22%,24%,20%,6%,,,
SBI Nifty Smallcap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,3%,4%,14%,33%,36%,37%,,,,
SBI Nifty Smallcap 250 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,3%,4%,14%,33%,35%,36%,,,,
HDFC Nifty Smallcap 250 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,3%,4%,14%,33%,,,,,,
HDFC Nifty Smallcap 250 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,3%,4%,14%,32%,,,,,,
Axis Nifty Midcap 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,2%,1%,9%,27%,35%,36%,,,,
Axis Nifty Midcap 50 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,2%,1%,8%,27%,34%,35%,,,,
ICICI Prudential Nifty Commodities ETF,Regular,Index Funds/ETFs,-,0.00,2%,3%,7%,14%,12%,,,,,
ICICI Prudential Nifty Financial Services Ex-Bank ETF,Regular,Index Funds/ETFs,-,0.00,2%,1%,10%,22%,26%,,,,,
UTI Nifty Midcap 150 ETF,Regular,Index Funds/ETFs,-,0.00,2%,2%,,,,,,,,
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,2%,2%,9%,26%,30%,30%,14%,,,
SBI Nifty Midcap 150 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,2%,2%,9%,26%,30%,30%,,,,
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Growth,Regular,Index Funds/ETFs,-,0.00,2%,2%,9%,26%,29%,29%,13%,,,
SBI Nifty Midcap 150 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,2%,2%,9%,26%,29%,29%,,,,
HDFC Nifty Midcap 150 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,2%,2%,9%,26%,,,,,,
HDFC Nifty Midcap 150 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,2%,2%,9%,25%,,,,,,
HDFC NIFTY50 Value 20 ETF,Regular,Index Funds/ETFs,-,0.00,2%,0%,4%,12%,16%,15%,,,,
Mirae Asset Nifty IT ETF,Regular,Index Funds/ETFs,-,0.00,2%,,,,,,,,,
Kotak IT ETF,Regular,Index Funds/ETFs,-,0.00,2%,1%,2%,13%,12%,7%,5%,,,
Axis Technology ETF,Regular,Index Funds/ETFs,-,0.00,2%,1%,2%,13%,11%,7%,6%,,,
DSP Nifty IT ETF,Regular,Index Funds/ETFs,-,0.00,2%,1%,2%,,,,,,,
Bandhan Nifty IT Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,2%,1%,,,,,,,,
Bandhan Nifty IT Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,2%,1%,,,,,,,,
ICICI Prudential Nifty Infrastructure ETF,Regular,Index Funds/ETFs,-,0.00,2%,1%,7%,18%,22%,21%,,,,
Groww Nifty Total Market Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,1%,,,,,,,,,
Groww Nifty Total Market Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,1%,,,,,,,,,
Motilal Oswal Nifty 500 ETF,Regular,Index Funds/ETFs,-,0.00,1%,1%,,,,,,,,
HDFC S&P BSE 500 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,1%,1%,4%,13%,,,,,,
HDFC S&P BSE 500 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,1%,1%,4%,12%,,,,,,
HDFC NIFTY100 Quality 30 ETF,Regular,Index Funds/ETFs,-,0.00,1%,1%,4%,11%,17%,14%,,,,
DSP Nifty Private Bank ETF,Regular,Index Funds/ETFs,-,0.00,1%,0%,1%,,,,,,,
Mirae Asset Nifty Bank ETF,Regular,Index Funds/ETFs,-,0.00,1%,0%,0%,,,,,,,
ICICI Prudential Nifty Bank Index Fund - Direct Pan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,1%,0%,0%,1%,3%,5%,,,,
HDFC NIFTY 100 Equal Weight Index Fund - Direct Pan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,1%,1%,5%,14%,14%,12%,,,,
ICICI Prudential Nifty Bank Index Fund - Regular Pan - Growth,Regular,Index Funds/ETFs,-,0.00,1%,0%,0%,0%,3%,4%,,,,
HDFC NIFTY 100 Equal Weight Index Fund - Regular Pan - Growth,Regular,Index Funds/ETFs,-,0.00,1%,1%,5%,14%,14%,11%,,,,
Navi Nifty 50 ETF,Regular,Index Funds/ETFs,-,0.00,1%,0%,,,,,,,,
HDFC NIFTY 100 Index Fund - Direct Pan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,1%,0%,2%,9%,9%,6%,,,,
HDFC NIFTY 100 Index Fund - Regular Pan - Growth,Regular,Index Funds/ETFs,-,0.00,1%,0%,2%,8%,8%,6%,,,,
Mirae Asset S&P BSE Sensex ETF,Regular,Index Funds/ETFs,-,0.00,1%,1%,,,,,,,,
DSP S&P BSE Sensex ETF,Regular,Index Funds/ETFs,-,0.00,1%,1%,1%,,,,,,,
Axis S&P BSE Sensex ETF,Regular,Index Funds/ETFs,-,0.00,1%,1%,1%,6%,,,,,,
Navi S&P BSE Sensex Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,1%,1%,,,,,,,,
Navi S&P BSE Sensex Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,1%,1%,,,,,,,,
ICICI Prudential Nifty 200 Quality 30 ETF,Regular,Index Funds/ETFs,-,0.00,1%,0%,4%,,,,,,,
HDFC NIFTY Growth Sectors 15 ETF,Regular,Index Funds/ETFs,-,0.00,1%,0%,3%,10%,16%,13%,,,,
UTI S&P BSE Housing Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,1%,0%,8%,,,,,,,
UTI S&P BSE Housing Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,1%,0%,7%,,,,,,,
HDFC NIFTY100 Low Volatility 30 ETF,Regular,Index Funds/ETFs,-,0.00,1%,2%,3%,12%,17%,15%,,,,
Mirae Asset Nifty 100 Low Volatility 30 ETF,Regular,Index Funds/ETFs,-,0.00,1%,2%,3%,12%,,,,,,
ICICI Prudential Nifty 10 yr Benchmark G-sec ETF,Regular,Index Funds/ETFs,-,0.00,0%,1%,1%,2%,6%,,,,,
Nippon India Nifty G-Sec June 2036 Maturity Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,0%,1%,1%,1%,7%,,,,,
Nippon India Nifty G-Sec June 2036 Maturity Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,0%,1%,1%,1%,7%,,,,,
SBI CRISIL IBX Gilt Index - June 2036 Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,0%,1%,1%,1%,7%,8%,,,,
Invesco India Nifty G-Sec Sep 2032 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,0%,1%,1%,2%,,,,,,
SBI CRISIL IBX Gilt Index - June 2036 Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,0%,1%,1%,1%,7%,8%,,,,
Invesco India Nifty G-Sec Sep 2032 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,0%,1%,1%,2%,,,,,,
IDFC Crisil IBX Gilt April 2032 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,0%,1%,1%,2%,,,,,,
IDFC Crisil IBX Gilt April 2032 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,0%,1%,1%,2%,,,,,,
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,0%,1%,1%,2%,,,,,,
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,0%,1%,1%,2%,,,,,,
Baroda BNP Paribas Nifty SDL December 2028 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,0%,1%,1%,2%,,,,,,
SBI CRISIL IBX SDL Index - September 2027 Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,0%,1%,1%,3%,6%,7%,,,,
UTI CRISIL SDL Maturity April 2033 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,0.00,0%,0%,1%,2%,6%,,,,,
SBI CRISIL IBX SDL Index - September 2027 Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,0%,1%,1%,3%,6%,7%,,,,
Mirae Asset Gold ETF,Regular,Index Funds/ETFs,-,0.00,0%,4%,3%,1%,,,,,,
Baroda BNP Paribas Nifty SDL December 2028 Index Fund - Regular Plan - Growth,Regular,Index Funds/ETFs,-,0.00,0%,1%,1%,2%,,,,,,
