Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
ICICI Prudential Gold ETF,Regular,Index Funds/ETFs,-,4070.30,0%,4%,3%,1%,9%,12%,10%,5%,13%,7%
Invesco India Growth Opportunities Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,2,4033.67,2%,4%,9%,20%,22%,21%,10%,21%,16%,18%
Invesco India Growth Opportunities Fund - Growth,Regular,Large & Mid Cap Fund,2,4033.67,2%,4%,9%,19%,21%,20%,9%,20%,15%,16%
HDFC Gold Exchange Traded Fund,Regular,Index Funds/ETFs,-,3999.78,0%,4%,3%,2%,8%,12%,10%,5%,13%,7%
ICICI Prudential Nifty Bank ETF,Regular,Index Funds/ETFs,-,3997.77,1%,0%,0%,1%,4%,5%,8%,16%,,
Edelweiss Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,3,3792.81,3%,5%,11%,23%,28%,26%,14%,31%,23%,24%
Edelweiss Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,3,3792.81,3%,4%,10%,22%,27%,24%,12%,30%,21%,22%
Motilal Oswal Nasdaq 100 ETF (MOSt Shares NASDAQ 100),Regular,Index Funds/ETFs,-,3785.63,3%,5%,4%,20%,45%,38%,4%,14%,22%,20%
HSBC Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,4,3504.18,2%,1%,6%,16%,21%,19%,8%,20%,15%,16%
HSBC Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,4,3504.18,2%,1%,6%,16%,20%,18%,7%,19%,14%,15%
Nippon India Vision Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,3,3471.73,2%,1%,5%,15%,20%,19%,9%,22%,15%,16%
Nippon India Vision Fund - Growth,Regular,Large & Mid Cap Fund,3,3471.73,2%,1%,5%,15%,19%,18%,8%,22%,14%,15%
SBI Gold ETF,Regular,Index Funds/ETFs,-,3422.74,0%,5%,3%,1%,9%,13%,10%,5%,13%,7%
Invesco India Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,3,3418.23,1%,3%,8%,21%,25%,25%,12%,27%,20%,23%
Invesco India Mid Cap Fund - Growth,Regular,Mid Cap Fund,2,3418.23,1%,2%,8%,20%,24%,23%,10%,25%,19%,21%
Quant Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,4,3267.99,1%,1%,10%,27%,24%,28%,21%,39%,27%,19%
Quant Mid Cap Fund - Growth,Regular,Mid Cap Fund,4,3267.99,1%,1%,10%,27%,23%,25%,18%,36%,25%,18%
Nippon India ETF Nifty Next 50 Junior BeES,Regular,Index Funds/ETFs,-,3207.81,1%,3%,6%,14%,11%,7%,3%,17%,12%,15%
Kotak Gold ETF Fund,Regular,Index Funds/ETFs,-,3202.56,0%,4%,3%,1%,8%,12%,10%,5%,13%,7%
UTI Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,-,3139.10,2%,3%,10%,24%,28%,27%,15%,,,
UTI Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,-,3139.10,2%,2%,9%,23%,26%,25%,13%,,,
ICICI Prudential S&P BSE Sensex ETF,Regular,Index Funds/ETFs,4,3023.09,1%,1%,1%,7%,9%,8%,5%,16%,15%,14%
ICICI Prudential Nifty Bank ETF,Regular,Index Funds/ETFs,-,3016.57,1%,0%,0%,1%,4%,5%,8%,16%,,
Sundaram Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,3,2993.56,1%,0%,3%,11%,12%,11%,6%,19%,,
Sundaram Large Cap Fund - Regular Plan - Growth,Regular,Large Cap Fund,3,2993.56,1%,0%,2%,10%,11%,9%,5%,17%,,
ICICI Prudential Nifty Next 50 Index Fund - Direct Plan - Growth,Direct Plan,Index Funds/ETFs,-,2990.67,1%,3%,6%,14%,10%,7%,3%,17%,12%,15%
ICICI Prudential Nifty Next 50 Index Fund - Growth,Regular,Index Funds/ETFs,-,2990.67,1%,3%,5%,13%,10%,7%,2%,16%,11%,14%
UTI Nifty Bank ETF,Regular,Index Funds/ETFs,-,2950.21,1%,0%,0%,1%,4%,5%,8%,16%,,
